particle_id,x,y,charge
     1,  6.6641217412E-01, -9.9750278956E+00, 1.0
     2,  4.3642513492E+00,  9.9141878727E+00, 1.0
     3, -6.2500507418E+00, -6.7969424971E+00, 1.0
     4, -3.0882315280E+00,  9.9951976573E+00, 1.0
     5, -1.7046240438E+00, -9.9833125963E+00, 1.0
     6,  9.9915474426E+00, -7.3796809749E+00, 1.0
     7,  8.1185504600E+00,  7.7402474360E+00, 1.0
     8, -1.5760628893E+00, -6.3784163506E+00, 1.0
     9,  2.9070016004E+00, -9.9478204447E+00, 1.0
    10,  2.3426298574E+00,  6.9830602778E-01, 1.0
    11, -9.6370656321E+00,  1.6438615094E+00, 1.0
    12,  9.9392185427E+00,  9.4681852849E+00, 1.0
    13, -2.2144283082E+00, -2.2532497932E+00, 1.0
    14, -9.9920859445E+00, -2.8393165546E-01, 1.0
    15,  7.5224272422E+00, -4.1960266592E+00, 1.0
    16,  9.9887247662E+00,  6.3749020032E+00, 1.0
    17,  4.4666371527E+00, -9.0527922721E+00, 1.0
    18, -9.9948394543E+00, -9.0713634153E+00, 1.0
    19, -6.5681524197E+00, -2.7942603136E+00, 1.0
    20, -5.0654272976E+00,  1.6484595970E+00, 1.0
    21,  9.9992146177E+00, -2.3719529363E+00, 1.0
    22,  2.2766671766E+00,  9.9803163725E+00, 1.0
    23, -9.9747963365E+00,  7.1159475780E+00, 1.0
    24, -9.9846061339E+00, -2.5399523227E+00, 1.0
    25,  5.8058410981E+00,  5.6297990930E+00, 1.0
    26, -7.8931158783E+00,  9.2665849883E+00, 1.0
    27, -5.6633106598E+00,  9.9714433502E+00, 1.0
    28, -4.2622901272E-01,  9.9983990458E+00, 1.0
    29,  9.9353077838E+00, -9.4992912745E+00, 1.0
    30,  6.1440506656E+00, -6.8626864137E+00, 1.0
    31, -1.2149499465E+00,  6.9725660837E+00, 1.0
    32, -4.8187507112E+00,  6.5957913042E+00, 1.0
    33,  6.1888783168E+00, -7.7748866033E-01, 1.0
    34,  9.9951176879E+00, -4.7738056799E+00, 1.0
    35,  2.4381116275E+00,  6.6536813077E+00, 1.0
    36, -6.3015129743E-01,  3.0747193829E+00, 1.0
    37,  7.7395742756E+00,  2.6224970927E+00, 1.0
    38, -9.9676757343E+00, -6.7771473906E+00, 1.0
    39, -9.6371445681E+00,  9.7594647432E+00, 1.0
    40, -6.3001698680E+00, -9.9962173866E+00, 1.0
    41, -9.9803679044E+00,  3.8466448751E+00, 1.0
    42, -3.9753277639E+00, -9.9964128377E+00, 1.0
    43,  9.9846964688E+00,  1.9492613812E-02, 1.0
    44,  7.9201996726E+00, -9.9957778359E+00, 1.0
    45,  9.9859990232E+00,  3.3416678145E+00, 1.0
    46,  7.8057686068E+00,  9.9812518185E+00, 1.0
    47,  2.2387299803E+00, -4.3555596272E+00, 1.0
    48, -8.1678456944E+00,  5.4530773404E+00, 1.0
    49, -9.9997348571E+00, -4.7704315411E+00, 1.0
    50, -8.2249743237E+00, -9.9929907969E+00, 1.0
