particle_id,x,y,charge
     1, -6.1224489796E-01, -7.5510204082E+00, 1.0
     2,  9.1836734694E+00, -5.1020408163E+00, 1.0
     3, -3.4930280815E+00, -4.0057030655E+00, 1.0
     4,  4.0251833880E+00, -3.6305679034E-01, 1.0
     5,  5.7268591590E+00,  7.5998821238E+00, 1.0
     6, -9.7914635586E+00, -7.0480956773E+00, 1.0
     7,  8.7685402956E+00,  1.7545006960E-01, 1.0
     8,  5.8448536445E+00,  3.1143724422E+00, 1.0
     9, -1.1228069217E+00,  8.9991963566E+00, 1.0
    10, -6.0876149268E+00,  9.8096571301E+00, 1.0
    11, -2.9189027381E+00, -7.9279181705E+00, 1.0
    12,  1.3831904706E+00,  5.8827245675E+00, 1.0
    13,  2.8558420152E+00,  5.4412139005E+00, 1.0
    14,  6.7276985287E+00, -4.6105316997E+00, 1.0
    15, -7.3581957314E+00, -3.6846744586E-01, 1.0
    16,  5.5852347477E+00, -5.3496350592E+00, 1.0
    17,  1.0000000000E+01,  1.8367346939E+00, 1.0
    18,  8.2996089439E+00,  3.4521389677E+00, 1.0
    19,  3.6326733217E+00,  9.4493930048E+00, 1.0
    20, -5.1020408163E+00,  6.1224489796E-01, 1.0
    21,  2.0408163265E-01,  5.5102040816E+00, 1.0
    22, -9.8258804218E+00,  3.0330799938E+00, 1.0
    23, -5.9183673469E+00,  6.7346938776E+00, 1.0
    24, -1.7353991601E+00,  6.4967275531E+00, 1.0
    25, -5.1719152050E+00, -1.6595139248E+00, 1.0
    26,  4.1788321563E+00,  8.3692297548E+00, 1.0
    27, -2.6530612245E+00, -5.1020408163E+00, 1.0
    28, -4.9500609412E+00, -9.5041704187E-01, 1.0
    29, -7.3436704305E+00,  4.9667559729E+00, 1.0
    30,  1.4193167794E+00, -4.1909118425E+00, 1.0
    31, -9.9279019838E+00,  8.5718088758E+00, 1.0
    32, -6.2463929912E+00, -3.8003255563E+00, 1.0
    33,  4.4072850572E-02, -2.4229713009E+00, 1.0
    34, -6.1224489796E-01,  7.1428571429E+00, 1.0
    35, -2.7210430210E+00,  9.0058588188E+00, 1.0
    36, -5.1020408163E+00, -5.5102040816E+00, 1.0
    37,  4.5962167881E-01, -7.9243676585E+00, 1.0
    38, -9.9122349852E+00, -4.5160564884E+00, 1.0
    39,  9.2107729332E+00,  2.6933508113E+00, 1.0
    40,  2.0408163265E-01,  7.5510204082E+00, 1.0
    41,  8.3615935810E+00, -2.3608164458E+00, 1.0
    42, -4.2564149681E+00,  6.3165902275E+00, 1.0
    43, -8.5940092172E+00, -3.4873052024E+00, 1.0
    44,  4.9502486996E+00, -6.6693308462E+00, 1.0
    45,  7.9591836735E+00, -3.8775510204E+00, 1.0
    46,  6.2154096374E+00, -2.3202911418E+00, 1.0
    47, -4.8203271648E+00,  4.0484269715E+00, 1.0
    48,  1.8046515158E+00,  9.3165731710E+00, 1.0
    49, -5.6702058216E+00, -8.5933839656E+00, 1.0
    50, -2.0408163265E-01,  9.1836734694E+00, 1.0
