particle_id,x,y,charge
     1, -5.3650716488E-01, -8.0481214649E+00, 1.0
     2,  4.1022695500E+00, -9.9974790889E+00, 1.0
     3, -3.1871400006E+00, -5.9148444815E-01, 1.0
     4, -7.8073343675E+00, -5.6740423409E+00, 1.0
     5, -3.0257707791E+00, -7.4482386050E+00, 1.0
     6, -6.5353030979E+00,  7.9732857803E+00, 1.0
     7, -2.6530612245E+00, -1.0000000000E+01, 1.0
     8,  2.3240301071E+00,  8.2576195319E+00, 1.0
     9,  9.0523306874E+00, -9.8973449298E+00, 1.0
    10,  8.0230035313E+00,  3.1857155704E+00, 1.0
    11, -9.2650331616E+00, -6.1805210858E+00, 1.0
    12, -2.2985867666E+00,  9.9924432376E+00, 1.0
    13, -6.2320158102E+00, -1.3549794708E+00, 1.0
    14,  5.3705413183E+00,  6.1015699353E+00, 1.0
    15,  5.4549858809E+00, -2.8463184170E+00, 1.0
    16,  9.9528328700E+00,  1.1904058507E+00, 1.0
    17,  5.7743035442E+00, -9.8008605031E+00, 1.0
    18,  7.9264505185E+00, -2.4287717319E-01, 1.0
    19, -6.3183850302E+00,  1.6906251695E+00, 1.0
    20,  4.0449968570E+00, -5.1725328105E+00, 1.0
    21,  7.4457620420E+00, -8.7854080047E+00, 1.0
    22, -1.2308079726E+00, -5.7095987600E+00, 1.0
    23, -4.9934158017E+00,  9.9518050650E+00, 1.0
    24, -5.4812915706E+00, -4.3195579097E+00, 1.0
    25, -8.4916902783E+00,  2.8724771707E+00, 1.0
    26,  9.5366857391E+00,  9.9568121101E+00, 1.0
    27,  9.9173932481E+00, -5.6382622076E+00, 1.0
    28, -3.1895606381E+00,  8.1700666586E+00, 1.0
    29,  6.8186233095E+00, -6.6407588477E+00, 1.0
    30, -9.9791915786E+00,  4.7516965315E-01, 1.0
    31,  9.3201041018E+00, -7.6932391951E+00, 1.0
    32, -7.9944624718E+00,  7.7696077090E-01, 1.0
    33,  5.1622685635E+00,  3.5418213938E+00, 1.0
    34,  2.1343569103E+00, -5.6098530936E-01, 1.0
    35,  5.1591115724E+00, -4.9514537632E-01, 1.0
    36, -2.2567599108E+00,  1.9530666299E+00, 1.0
    37, -8.9897139952E+00, -1.9686510680E+00, 1.0
    38, -4.0417259126E+00,  5.9992938595E+00, 1.0
    39,  1.8179441827E+00, -6.6842070697E+00, 1.0
    40, -8.3356686988E+00,  9.2001320409E+00, 1.0
    41,  5.3918964631E+00,  9.6657681252E+00, 1.0
    42, -9.9159445514E+00,  7.5542165305E+00, 1.0
    43,  3.0441191741E+00, -8.6120180916E+00, 1.0
    44,  9.8362153267E+00, -1.3710003297E+00, 1.0
    45, -5.3489337866E+00, -9.5982083795E+00, 1.0
    46,  9.9813100876E+00, -9.2029819353E+00, 1.0
    47, -7.3608739845E-01,  8.0658560914E+00, 1.0
    48, -3.4430299348E+00,  3.6260592415E+00, 1.0
    49, -1.9290167250E+00, -3.0162747036E+00, 1.0
    50,  5.3663332852E+00,  8.0432216880E+00, 1.0
