particle_id,x,y,charge
     1, -3.7062704135E+00, -7.3689673478E+00, 1.0
     2,  2.9448328258E+00,  9.9765935320E+00, 1.0
     3, -6.0052451773E+00,  1.6506476164E+00, 1.0
     4,  7.7606546518E+00,  7.7543739219E+00, 1.0
     5, -9.9961291002E+00, -2.5745503578E-01, 1.0
     6,  4.6395124365E-01,  6.6483709899E+00, 1.0
     7, -6.3043977000E+00,  9.9338794086E+00, 1.0
     8,  2.9935578270E-01, -9.9988004339E+00, 1.0
     9,  9.9970458434E+00,  3.5138488894E+00, 1.0
    10, -9.9864175814E+00,  9.9161517508E+00, 1.0
    11,  3.0054132338E+00, -9.9946525935E+00, 1.0
    12,  6.6113197886E+00,  9.9948035258E+00, 1.0
    13,  6.3699968446E+00, -6.8296789658E+00, 1.0
    14,  1.9903135849E+00,  2.4943979061E+00, 1.0
    15,  5.6941427694E-01,  9.9992740778E+00, 1.0
    16, -9.0533390053E-01, -4.9961150896E+00, 1.0
    17, -8.1887402555E+00, -9.9866011036E+00, 1.0
    18, -1.2341189539E+00, -7.0955528813E-03, 1.0
    19, -6.1594779060E+00,  5.9862629782E+00, 1.0
    20, -9.9794464993E+00, -2.4063907771E+00, 1.0
    21,  9.9952228388E+00,  1.0107025172E+00, 1.0
    22,  5.1146922294E+00,  5.1137370783E+00, 1.0
    23,  9.9985840667E+00,  5.9459752629E+00, 1.0
    24, -8.7159007336E+00,  3.7043911822E+00, 1.0
    25, -7.2870425183E+00, -7.9630779539E+00, 1.0
    26,  9.8463183040E+00,  9.9807450568E+00, 1.0
    27,  9.9777209002E+00, -5.9905461768E+00, 1.0
    28, -3.6314685480E+00,  8.4757994144E+00, 1.0
    29,  2.5119178919E+00, -7.0735775298E+00, 1.0
    30,  6.7155335403E+00,  1.5976460395E+00, 1.0
    31, -2.7914403631E+00,  4.1987864669E+00, 1.0
    32, -2.1898267465E+00,  9.9646442440E+00, 1.0
    33,  9.9948277042E+00, -1.4610125638E+00, 1.0
    34, -2.2125298587E+00, -9.9974118770E+00, 1.0
    35,  9.9887868045E+00,  8.4301189247E+00, 1.0
    36, -9.9828388285E+00, -4.7140265264E+00, 1.0
    37,  6.6763916789E+00, -2.6352097142E+00, 1.0
    38,  9.9910842408E+00, -7.9910879401E+00, 1.0
    39,  9.9664365981E+00, -9.8977764978E+00, 1.0
    40,  9.9936338924E+00, -3.7852750680E+00, 1.0
    41,  2.8093078492E+00, -2.6841140655E+00, 1.0
    42, -9.9338523591E+00,  2.0259863003E+00, 1.0
    43, -7.1306571324E+00, -4.4501804137E+00, 1.0
    44, -9.9912669260E+00, -9.9779742927E+00, 1.0
    45, -9.9834201815E+00, -7.1615940825E+00, 1.0
    46,  5.7175774455E+00, -9.9978081840E+00, 1.0
    47, -5.2138228574E+00, -9.9886262450E+00, 1.0
    48, -4.7218097428E+00, -2.0037036909E+00, 1.0
    49,  8.0658140164E+00, -9.9997952284E+00, 1.0
    50,  4.7650545684E+00,  8.9985560138E+00, 1.0
