particle_id,x,y,charge
     1, -2.4002379092E+00, -6.6412557774E+00, 1.0
     2,  2.8535245778E+00,  9.9998853439E+00, 1.0
     3, -6.6441238880E+00,  3.9454635927E+00, 1.0
     4,  6.4634427922E+00,  6.7479081285E+00, 1.0
     5, -9.9985885012E+00, -9.2334451272E-03, 1.0
     6, -2.2338504942E+00,  6.7334170762E+00, 1.0
     7, -7.8947904434E+00,  9.9980757764E+00, 1.0
     8,  1.5977060103E-01, -9.9988780639E+00, 1.0
     9,  9.9968268998E+00,  3.5389583460E+00, 1.0
    10, -9.9947231267E+00,  9.9759706116E+00, 1.0
    11,  2.9451837045E+00, -9.9997449316E+00, 1.0
    12,  7.8847135028E+00,  9.9998649246E+00, 1.0
    13,  6.3346314909E+00, -6.5984210375E+00, 1.0
    14,  2.2415600366E+00,  2.0579654990E+00, 1.0
    15,  2.4016353425E-01,  9.9986261515E+00, 1.0
    16, -2.1813243114E+00, -2.2394376397E+00, 1.0
    17, -8.0059078920E+00, -9.9968185303E+00, 1.0
    18, -2.1862959320E+00,  2.5059583302E+00, 1.0
    19, -9.9981065589E+00,  7.9855497119E+00, 1.0
    20, -9.9997824777E+00, -2.6954126511E+00, 1.0
    21,  9.9980816826E+00,  1.0759832067E+00, 1.0
    22,  2.2585808914E+00,  6.5127240320E+00, 1.0
    23,  9.9996074103E+00,  5.9500468236E+00, 1.0
    24, -9.9998000617E+00,  5.4334367254E+00, 1.0
    25, -6.7695711943E+00, -7.3909944845E+00, 1.0
    26,  9.9923246339E+00,  9.9847196538E+00, 1.0
    27,  9.9997052556E+00, -6.0177350963E+00, 1.0
    28, -5.1684615364E+00,  9.9973434840E+00, 1.0
    29,  2.0500796345E+00, -6.7842831313E+00, 1.0
    30,  6.3957411672E+00,  2.5518796364E+00, 1.0
    31, -6.6955313774E+00,  7.4163679480E+00, 1.0
    32, -2.4815917558E+00,  9.9998161901E+00, 1.0
    33,  9.9989831284E+00, -1.3089498360E+00, 1.0
    34, -2.5458700702E+00, -9.9981001333E+00, 1.0
    35,  9.9958526477E+00,  8.1854788420E+00, 1.0
    36, -9.9997473100E+00, -5.3983849587E+00, 1.0
    37,  6.3514532291E+00, -2.2054294816E+00, 1.0
    38,  9.9997055991E+00, -8.2108977217E+00, 1.0
    39,  9.9758936584E+00, -9.9965551732E+00, 1.0
    40,  9.9951568216E+00, -3.7373950909E+00, 1.0
    41,  2.2193379311E+00, -2.6074935348E+00, 1.0
    42, -9.9982325038E+00,  2.7337731731E+00, 1.0
    43, -6.5600427763E+00, -3.8494890289E+00, 1.0
    44, -9.9863897478E+00, -9.9988691387E+00, 1.0
    45, -9.9975021492E+00, -7.8994986186E+00, 1.0
    46,  5.4913121194E+00, -9.9947147563E+00, 1.0
    47, -5.2385242750E+00, -9.9972338779E+00, 1.0
    48, -6.4724136813E+00,  7.2326128628E-02, 1.0
    49,  7.9326800471E+00, -9.9984543248E+00, 1.0
    50,  5.4317103013E+00,  9.9996381687E+00, 1.0
