particle_id,x,y,charge
     1, -2.4002379092E+00, -6.6412557774E+00, 1.0
     2,  2.8535245778E+00,  9.9998853439E+00, 1.0
     3, -6.6871740020E+00,  3.9268537630E+00, 1.0
     4,  6.4630047949E+00,  6.7117363987E+00, 1.0
     5, -9.9989922479E+00, -4.3070674529E-02, 1.0
     6, -2.1972884727E+00,  6.7366834820E+00, 1.0
     7, -7.8787700455E+00,  9.9969886894E+00, 1.0
     8,  1.1505265964E-01, -9.9994590294E+00, 1.0
     9,  9.9968268998E+00,  3.5389583460E+00, 1.0
    10, -9.9947231267E+00,  9.9759706116E+00, 1.0
    11,  2.9451837045E+00, -9.9997449316E+00, 1.0
    12,  7.8847135028E+00,  9.9998649246E+00, 1.0
    13,  6.2902833001E+00, -6.5953536148E+00, 1.0
    14,  2.2302508806E+00,  2.0726079598E+00, 1.0
    15,  2.8574895711E-01,  9.9989550578E+00, 1.0
    16, -2.1487140498E+00, -2.2504744057E+00, 1.0
    17, -8.0059078920E+00, -9.9968185303E+00, 1.0
    18, -2.1862959320E+00,  2.5059583302E+00, 1.0
    19, -9.9981065589E+00,  7.9855497119E+00, 1.0
    20, -9.9997824777E+00, -2.6954126511E+00, 1.0
    21,  9.9980816826E+00,  1.0759832067E+00, 1.0
    22,  2.2879713143E+00,  6.4889188446E+00, 1.0
    23,  9.9996074103E+00,  5.9500468236E+00, 1.0
    24, -9.9998000617E+00,  5.4334367254E+00, 1.0
    25, -6.7820325991E+00, -7.3953755606E+00, 1.0
    26,  9.9923246339E+00,  9.9847196538E+00, 1.0
    27,  9.9997052556E+00, -6.0177350963E+00, 1.0
    28, -5.1684615364E+00,  9.9973434840E+00, 1.0
    29,  2.0519184750E+00, -6.8225265148E+00, 1.0
    30,  6.3634080268E+00,  2.5208244263E+00, 1.0
    31, -6.6548831371E+00,  7.3865418724E+00, 1.0
    32, -2.4815917558E+00,  9.9998161901E+00, 1.0
    33,  9.9957033432E+00, -1.3917340251E+00, 1.0
    34, -2.5438177033E+00, -9.9981422041E+00, 1.0
    35,  9.9957002232E+00,  8.1887911610E+00, 1.0
    36, -9.9978980703E+00, -5.3699629069E+00, 1.0
    37,  6.3238172424E+00, -2.2106547985E+00, 1.0
    38,  9.9997055991E+00, -8.2108977217E+00, 1.0
    39,  9.9758936584E+00, -9.9965551732E+00, 1.0
    40,  9.9951568216E+00, -3.7373950909E+00, 1.0
    41,  2.2198164679E+00, -2.6063952135E+00, 1.0
    42, -9.9982325038E+00,  2.7337731731E+00, 1.0
    43, -6.5225007292E+00, -3.8464666435E+00, 1.0
    44, -9.9708132184E+00, -9.9999900722E+00, 1.0
    45, -9.9975021492E+00, -7.8994986186E+00, 1.0
    46,  5.6331020082E+00, -9.9991953905E+00, 1.0
    47, -5.2385242750E+00, -9.9972338779E+00, 1.0
    48, -6.4724136813E+00,  7.2326128628E-02, 1.0
    49,  7.9326800471E+00, -9.9984543248E+00, 1.0
    50,  5.4317103013E+00,  9.9996381687E+00, 1.0
