particle_id,x,y,charge
     1, -8.4493487119E-01, -9.9993015483E+00, 1.0
     2,  8.2347262148E+00, -9.9985224386E+00, 1.0
     3, -6.6371781702E+00, -6.4353547496E+00, 1.0
     4, -2.7146694288E+00,  6.3343766162E+00, 1.0
     5,  6.6096582392E+00, -2.1923899035E+00, 1.0
     6,  9.9990879616E+00,  1.8508394491E-01, 1.0
     7,  2.1795982812E+00, -2.1381500836E+00, 1.0
     8,  2.5048034581E+00,  2.2952539619E+00, 1.0
     9, -9.9998774194E+00,  7.7365897386E+00, 1.0
    10, -3.3935195646E+00, -9.9998656969E+00, 1.0
    11, -9.9934327101E+00, -9.9996898111E+00, 1.0
    12, -9.9958157600E+00,  9.9938030392E+00, 1.0
    13,  9.9973799847E+00, -9.9954639437E+00, 1.0
    14,  9.9990946792E+00,  7.9887548379E+00, 1.0
    15, -9.9996893042E+00, -3.1897526543E-01, 1.0
    16, -9.9994973643E+00,  2.4452620413E+00, 1.0
    17,  3.6489153144E+00,  9.9993566258E+00, 1.0
    18, -3.6445388104E+00,  9.9993813613E+00, 1.0
    19, -9.9999286264E+00, -5.6095326016E+00, 1.0
    20, -2.3471592912E+00, -6.4400872369E+00, 1.0
    21, -2.4752553494E+00, -2.2744190677E+00, 1.0
    22,  1.5466472190E+00, -9.9986678637E+00, 1.0
    23, -8.1951555800E+00,  9.9994046528E+00, 1.0
    24,  8.1390256257E+00,  9.9988975356E+00, 1.0
    25,  2.0670290301E+00,  6.3787772200E+00, 1.0
    26,  9.9999445854E+00,  2.9214726717E+00, 1.0
    27,  1.2326381561E+00,  9.9993754940E+00, 1.0
    28,  6.7360354917E+00,  2.1976917623E+00, 1.0
    29, -2.1819964119E+00,  2.1913782830E+00, 1.0
    30, -8.0816357069E+00, -9.9997903689E+00, 1.0
    31, -6.6110604689E+00,  2.2622398718E+00, 1.0
    32,  6.1583180012E+00, -9.9989183748E+00, 1.0
    33, -1.1786245447E+00,  9.9990490805E+00, 1.0
    34,  5.9898609755E+00,  9.9997979138E+00, 1.0
    35,  9.9998003823E+00,  5.5167147290E+00, 1.0
    36,  2.4259862847E+00, -6.2768205078E+00, 1.0
    37, -6.9329231433E+00,  6.4498591115E+00, 1.0
    38, -6.6889282701E+00, -2.1764706187E+00, 1.0
    39,  9.9991753174E+00, -7.8146440591E+00, 1.0
    40, -5.9792806299E+00,  9.9995832559E+00, 1.0
    41,  9.9886110737E+00,  9.9922038981E+00, 1.0
    42,  6.5590209295E+00,  6.3825344231E+00, 1.0
    43, -9.9999384507E+00, -2.9905896399E+00, 1.0
    44, -9.9995694779E+00, -7.9644926060E+00, 1.0
    45, -9.9991104270E+00,  5.1105825745E+00, 1.0
    46,  6.7854359183E+00, -6.3217335518E+00, 1.0
    47, -5.8270417393E+00, -9.9996806798E+00, 1.0
    48,  9.9995126187E+00, -2.5712126961E+00, 1.0
    49,  3.8933654515E+00, -9.9995047798E+00, 1.0
    50,  9.9990739553E+00, -5.2082459339E+00, 1.0
