particle_id,x,y,charge
     1, -1.5489724017E+00, -9.9855641532E+00, 1.0
     2, -6.5984548484E+00,  2.5985852379E+00, 1.0
     3, -1.2453959562E-01, -7.3099214815E+00, 1.0
     4,  9.1267308051E-01, -3.8718104572E+00, 1.0
     5,  9.9128052185E+00, -7.1272841926E+00, 1.0
     6,  7.1855658725E+00,  9.9878304015E+00, 1.0
     7,  1.7235227573E+00, -9.9521135543E+00, 1.0
     8, -6.4106803947E+00,  9.9234997736E+00, 1.0
     9,  7.6339972171E+00, -4.7530726043E+00, 1.0
    10,  9.9730450835E+00,  6.8935439798E+00, 1.0
    11,  8.9071407551E+00,  8.6564755111E+00, 1.0
    12,  9.9693000259E+00,  4.6229257392E+00, 1.0
    13,  6.8907537809E+00,  3.1353719559E+00, 1.0
    14,  4.5589543786E+00, -5.5070970205E+00, 1.0
    15, -9.6307788206E+00,  8.3213475037E+00, 1.0
    16,  3.7193708762E+00,  6.4649633589E-01, 1.0
    17, -9.9546331592E+00, -7.9488283816E-01, 1.0
    18,  6.2058637953E+00,  6.7591629266E+00, 1.0
    19, -7.0817375962E+00, -1.5810222250E+00, 1.0
    20, -3.5656604871E+00,  9.9980091876E+00, 1.0
    21, -3.3912790098E+00, -2.7343296107E+00, 1.0
    22, -1.3685642615E+00,  6.5816268630E+00, 1.0
    23, -9.9936320369E+00, -3.7156952138E+00, 1.0
    24,  8.0470560285E+00, -8.8184324679E+00, 1.0
    25,  6.3141572820E+00, -9.9902975501E+00, 1.0
    26,  4.7250912159E+00,  9.9951702827E+00, 1.0
    27, -9.9876023646E+00,  9.8171534332E+00, 1.0
    28, -2.3827151837E-01,  1.9512913290E-01, 1.0
    29, -9.9837457162E+00,  1.6112951238E+00, 1.0
    30, -9.5005637345E+00,  5.6327824547E+00, 1.0
    31,  7.6806630334E-01,  9.9992392281E+00, 1.0
    32, -7.1679407288E+00, -5.3551735536E+00, 1.0
    33,  9.9683751481E+00,  2.0036110136E+00, 1.0
    34, -3.0040817220E+00,  3.0471089399E+00, 1.0
    35, -9.9279863835E+00, -9.9414096905E+00, 1.0
    36,  9.9913086098E+00, -1.3036812151E+00, 1.0
    37, -1.3556939294E+00,  9.9740616140E+00, 1.0
    38,  9.8494644200E+00, -9.9718873435E+00, 1.0
    39, -5.9281909938E+00,  7.4148276052E+00, 1.0
    40,  7.4404011335E+00, -8.3486680657E-01, 1.0
    41,  9.9462869599E+00,  9.9785700728E+00, 1.0
    42, -9.9609668439E+00,  3.9082170160E+00, 1.0
    43,  2.6607078858E+00,  9.9981506751E+00, 1.0
    44, -7.6614812576E+00, -9.2455979041E+00, 1.0
    45,  2.3724554542E+00,  5.2840161680E+00, 1.0
    46, -9.9648113112E+00, -6.1138565144E+00, 1.0
    47,  9.9882634188E+00, -4.1659803292E+00, 1.0
    48, -4.0197627446E+00, -7.4685817749E+00, 1.0
    49, -5.1276477794E+00, -9.9647635362E+00, 1.0
    50,  3.9321522064E+00, -9.9986223986E+00, 1.0
